['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Philadelphia', 'Boston', 'Boston', 'Boston', 'Boston']
['Philadelphia', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Philadelphia', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Philadelphia', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Philadelphia', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Philadelphia', 'Boston', 'Boston', 'Boston', 'Boston']
['Boston', 'Boston', 'Boston', 'Boston', 'Boston']
['Philadelphia', 'Boston', 'Boston', 'Boston', 'Boston']
